,IDKABKOTA,month,geometry,longitude,latitude,year,co2,time
0,BANGKALAN,1,"MULTIPOINT ((112.71000366210929 -7.130000114440893), (112.71000366210929 -7.080000114440892), (112.76000366210928 -7.130000114440893), (112.76000366210928 -7.080000114440892), (112.76000366210928 -7.030000114440892), (112.81000366210928 -7.130000114440893), (112.81000366210928 -7.080000114440892), (112.81000366210928 -7.030000114440892), (112.81000366210928 -6.980000114440891), (112.86000366210926 -7.130000114440893), (112.86000366210926 -7.080000114440892), (112.86000366210926 -7.030000114440892), (112.86000366210926 -6.980000114440891), (112.86000366210926 -6.93000011444089), (112.91000366210926 -7.180000114440894), (112.91000366210926 -7.130000114440893), (112.91000366210926 -7.080000114440892), (112.91000366210926 -7.030000114440892), (112.91000366210926 -6.980000114440891), (112.91000366210926 -6.93000011444089), (112.96000366210926 -7.180000114440894), (112.96000366210926 -7.130000114440893), (112.96000366210926 -7.080000114440892), (112.96000366210926 -7.030000114440892), (112.96000366210926 -6.980000114440891), (112.96000366210926 -6.93000011444089), (113.01000366210926 -7.180000114440894), (113.01000366210926 -7.130000114440893), (113.01000366210926 -7.080000114440892), (113.01000366210926 -7.030000114440892), (113.01000366210926 -6.980000114440891), (113.01000366210926 -6.93000011444089), (113.06000366210924 -7.130000114440893), (113.06000366210924 -7.080000114440892), (113.06000366210924 -7.030000114440892), (113.06000366210924 -6.980000114440891), (113.06000366210924 -6.93000011444089), (113.11000366210924 -7.030000114440892), (113.11000366210924 -6.93000011444089))",112.92410622621183,-7.049230883671662,2018.0,633.2821064527562,2017-12-31 19:12:00
1,BANGKALAN,2,"MULTIPOINT ((112.71000366210929 -7.130000114440893), (112.71000366210929 -7.080000114440892), (112.76000366210928 -7.130000114440893), (112.76000366210928 -7.080000114440892), (112.76000366210928 -7.030000114440892), (112.81000366210928 -7.130000114440893), (112.81000366210928 -7.080000114440892), (112.81000366210928 -7.030000114440892), (112.81000366210928 -6.980000114440891), (112.86000366210926 -7.130000114440893), (112.86000366210926 -7.080000114440892), (112.86000366210926 -7.030000114440892), (112.86000366210926 -6.980000114440891), (112.86000366210926 -6.93000011444089), (112.91000366210926 -7.180000114440894), (112.91000366210926 -7.130000114440893), (112.91000366210926 -7.080000114440892), (112.91000366210926 -7.030000114440892), (112.91000366210926 -6.980000114440891), (112.91000366210926 -6.93000011444089), (112.96000366210926 -7.180000114440894), (112.96000366210926 -7.130000114440893), (112.96000366210926 -7.080000114440892), (112.96000366210926 -7.030000114440892), (112.96000366210926 -6.980000114440891), (112.96000366210926 -6.93000011444089), (113.01000366210926 -7.180000114440894), (113.01000366210926 -7.130000114440893), (113.01000366210926 -7.080000114440892), (113.01000366210926 -7.030000114440892), (113.01000366210926 -6.980000114440891), (113.01000366210926 -6.93000011444089), (113.06000366210924 -7.130000114440893), (113.06000366210924 -7.080000114440892), (113.06000366210924 -7.030000114440892), (113.06000366210924 -6.980000114440891), (113.06000366210924 -6.93000011444089), (113.11000366210924 -7.030000114440892), (113.11000366210924 -6.93000011444089))",112.92410622621183,-7.049230883671662,2018.0,631.6854873675474,2018-01-31 19:12:00
2,BANGKALAN,3,"MULTIPOINT ((112.71000366210929 -7.130000114440893), (112.71000366210929 -7.080000114440892), (112.76000366210928 -7.130000114440893), (112.76000366210928 -7.080000114440892), (112.76000366210928 -7.030000114440892), (112.81000366210928 -7.130000114440893), (112.81000366210928 -7.080000114440892), (112.81000366210928 -7.030000114440892), (112.81000366210928 -6.980000114440891), (112.86000366210926 -7.130000114440893), (112.86000366210926 -7.080000114440892), (112.86000366210926 -7.030000114440892), (112.86000366210926 -6.980000114440891), (112.86000366210926 -6.93000011444089), (112.91000366210926 -7.180000114440894), (112.91000366210926 -7.130000114440893), (112.91000366210926 -7.080000114440892), (112.91000366210926 -7.030000114440892), (112.91000366210926 -6.980000114440891), (112.91000366210926 -6.93000011444089), (112.96000366210926 -7.180000114440894), (112.96000366210926 -7.130000114440893), (112.96000366210926 -7.080000114440892), (112.96000366210926 -7.030000114440892), (112.96000366210926 -6.980000114440891), (112.96000366210926 -6.93000011444089), (113.01000366210926 -7.180000114440894), (113.01000366210926 -7.130000114440893), (113.01000366210926 -7.080000114440892), (113.01000366210926 -7.030000114440892), (113.01000366210926 -6.980000114440891), (113.01000366210926 -6.93000011444089), (113.06000366210924 -7.130000114440893), (113.06000366210924 -7.080000114440892), (113.06000366210924 -7.030000114440892), (113.06000366210924 -6.980000114440891), (113.06000366210924 -6.93000011444089), (113.11000366210924 -7.030000114440892), (113.11000366210924 -6.93000011444089))",112.92410622621183,-7.049230883671662,2018.0,629.0147315104662,2018-03-01 04:48:00
3,BANGKALAN,4,"MULTIPOINT ((112.71000366210929 -7.130000114440893), (112.71000366210929 -7.080000114440892), (112.76000366210928 -7.130000114440893), (112.76000366210928 -7.080000114440892), (112.76000366210928 -7.030000114440892), (112.81000366210928 -7.130000114440893), (112.81000366210928 -7.080000114440892), (112.81000366210928 -7.030000114440892), (112.81000366210928 -6.980000114440891), (112.86000366210926 -7.130000114440893), (112.86000366210926 -7.080000114440892), (112.86000366210926 -7.030000114440892), (112.86000366210926 -6.980000114440891), (112.86000366210926 -6.93000011444089), (112.91000366210926 -7.180000114440894), (112.91000366210926 -7.130000114440893), (112.91000366210926 -7.080000114440892), (112.91000366210926 -7.030000114440892), (112.91000366210926 -6.980000114440891), (112.91000366210926 -6.93000011444089), (112.96000366210926 -7.180000114440894), (112.96000366210926 -7.130000114440893), (112.96000366210926 -7.080000114440892), (112.96000366210926 -7.030000114440892), (112.96000366210926 -6.980000114440891), (112.96000366210926 -6.93000011444089), (113.01000366210926 -7.180000114440894), (113.01000366210926 -7.130000114440893), (113.01000366210926 -7.080000114440892), (113.01000366210926 -7.030000114440892), (113.01000366210926 -6.980000114440891), (113.01000366210926 -6.93000011444089), (113.06000366210924 -7.130000114440893), (113.06000366210924 -7.080000114440892), (113.06000366210924 -7.030000114440892), (113.06000366210924 -6.980000114440891), (113.06000366210924 -6.93000011444089), (113.11000366210924 -7.030000114440892), (113.11000366210924 -6.93000011444089))",112.92410622621183,-7.049230883671662,2018.0,627.0023060063633,2018-04-01 04:48:00
4,BANGKALAN,5,"MULTIPOINT ((112.71000366210929 -7.130000114440893), (112.71000366210929 -7.080000114440892), (112.76000366210928 -7.130000114440893), (112.76000366210928 -7.080000114440892), (112.76000366210928 -7.030000114440892), (112.81000366210928 -7.130000114440893), (112.81000366210928 -7.080000114440892), (112.81000366210928 -7.030000114440892), (112.81000366210928 -6.980000114440891), (112.86000366210926 -7.130000114440893), (112.86000366210926 -7.080000114440892), (112.86000366210926 -7.030000114440892), (112.86000366210926 -6.980000114440891), (112.86000366210926 -6.93000011444089), (112.91000366210926 -7.180000114440894), (112.91000366210926 -7.130000114440893), (112.91000366210926 -7.080000114440892), (112.91000366210926 -7.030000114440892), (112.91000366210926 -6.980000114440891), (112.91000366210926 -6.93000011444089), (112.96000366210926 -7.180000114440894), (112.96000366210926 -7.130000114440893), (112.96000366210926 -7.080000114440892), (112.96000366210926 -7.030000114440892), (112.96000366210926 -6.980000114440891), (112.96000366210926 -6.93000011444089), (113.01000366210926 -7.180000114440894), (113.01000366210926 -7.130000114440893), (113.01000366210926 -7.080000114440892), (113.01000366210926 -7.030000114440892), (113.01000366210926 -6.980000114440891), (113.01000366210926 -6.93000011444089), (113.06000366210924 -7.130000114440893), (113.06000366210924 -7.080000114440892), (113.06000366210924 -7.030000114440892), (113.06000366210924 -6.980000114440891), (113.06000366210924 -6.93000011444089), (113.11000366210924 -7.030000114440892), (113.11000366210924 -6.93000011444089))",112.92410622621183,-7.049230883671662,2018.0,630.801394045515,2018-05-01 04:48:00
5,BANGKALAN,6,"MULTIPOINT ((112.71000366210929 -7.130000114440893), (112.71000366210929 -7.080000114440892), (112.76000366210928 -7.130000114440893), (112.76000366210928 -7.080000114440892), (112.76000366210928 -7.030000114440892), (112.81000366210928 -7.130000114440893), (112.81000366210928 -7.080000114440892), (112.81000366210928 -7.030000114440892), (112.81000366210928 -6.980000114440891), (112.86000366210926 -7.130000114440893), (112.86000366210926 -7.080000114440892), (112.86000366210926 -7.030000114440892), (112.86000366210926 -6.980000114440891), (112.86000366210926 -6.93000011444089), (112.91000366210926 -7.180000114440894), (112.91000366210926 -7.130000114440893), (112.91000366210926 -7.080000114440892), (112.91000366210926 -7.030000114440892), (112.91000366210926 -6.980000114440891), (112.91000366210926 -6.93000011444089), (112.96000366210926 -7.180000114440894), (112.96000366210926 -7.130000114440893), (112.96000366210926 -7.080000114440892), (112.96000366210926 -7.030000114440892), (112.96000366210926 -6.980000114440891), (112.96000366210926 -6.93000011444089), (113.01000366210926 -7.180000114440894), (113.01000366210926 -7.130000114440893), (113.01000366210926 -7.080000114440892), (113.01000366210926 -7.030000114440892), (113.01000366210926 -6.980000114440891), (113.01000366210926 -6.93000011444089), (113.06000366210924 -7.130000114440893), (113.06000366210924 -7.080000114440892), (113.06000366210924 -7.030000114440892), (113.06000366210924 -6.980000114440891), (113.06000366210924 -6.93000011444089), (113.11000366210924 -7.030000114440892), (113.11000366210924 -6.93000011444089))",112.92410622621183,-7.049230883671662,2018.0,631.286794778674,2018-06-01 04:48:00
6,BANGKALAN,7,"MULTIPOINT ((112.71000366210929 -7.130000114440893), (112.71000366210929 -7.080000114440892), (112.76000366210928 -7.130000114440893), (112.76000366210928 -7.080000114440892), (112.76000366210928 -7.030000114440892), (112.81000366210928 -7.130000114440893), (112.81000366210928 -7.080000114440892), (112.81000366210928 -7.030000114440892), (112.81000366210928 -6.980000114440891), (112.86000366210926 -7.130000114440893), (112.86000366210926 -7.080000114440892), (112.86000366210926 -7.030000114440892), (112.86000366210926 -6.980000114440891), (112.86000366210926 -6.93000011444089), (112.91000366210926 -7.180000114440894), (112.91000366210926 -7.130000114440893), (112.91000366210926 -7.080000114440892), (112.91000366210926 -7.030000114440892), (112.91000366210926 -6.980000114440891), (112.91000366210926 -6.93000011444089), (112.96000366210926 -7.180000114440894), (112.96000366210926 -7.130000114440893), (112.96000366210926 -7.080000114440892), (112.96000366210926 -7.030000114440892), (112.96000366210926 -6.980000114440891), (112.96000366210926 -6.93000011444089), (113.01000366210926 -7.180000114440894), (113.01000366210926 -7.130000114440893), (113.01000366210926 -7.080000114440892), (113.01000366210926 -7.030000114440892), (113.01000366210926 -6.980000114440891), (113.01000366210926 -6.93000011444089), (113.06000366210924 -7.130000114440893), (113.06000366210924 -7.080000114440892), (113.06000366210924 -7.030000114440892), (113.06000366210924 -6.980000114440891), (113.06000366210924 -6.93000011444089), (113.11000366210924 -7.030000114440892), (113.11000366210924 -6.93000011444089))",112.92410622621183,-7.049230883671662,2018.0,631.8703380112445,2018-07-01 04:48:00
7,BANGKALAN,8,"MULTIPOINT ((112.71000366210929 -7.130000114440893), (112.71000366210929 -7.080000114440892), (112.76000366210928 -7.130000114440893), (112.76000366210928 -7.080000114440892), (112.76000366210928 -7.030000114440892), (112.81000366210928 -7.130000114440893), (112.81000366210928 -7.080000114440892), (112.81000366210928 -7.030000114440892), (112.81000366210928 -6.980000114440891), (112.86000366210926 -7.130000114440893), (112.86000366210926 -7.080000114440892), (112.86000366210926 -7.030000114440892), (112.86000366210926 -6.980000114440891), (112.86000366210926 -6.93000011444089), (112.91000366210926 -7.180000114440894), (112.91000366210926 -7.130000114440893), (112.91000366210926 -7.080000114440892), (112.91000366210926 -7.030000114440892), (112.91000366210926 -6.980000114440891), (112.91000366210926 -6.93000011444089), (112.96000366210926 -7.180000114440894), (112.96000366210926 -7.130000114440893), (112.96000366210926 -7.080000114440892), (112.96000366210926 -7.030000114440892), (112.96000366210926 -6.980000114440891), (112.96000366210926 -6.93000011444089), (113.01000366210926 -7.180000114440894), (113.01000366210926 -7.130000114440893), (113.01000366210926 -7.080000114440892), (113.01000366210926 -7.030000114440892), (113.01000366210926 -6.980000114440891), (113.01000366210926 -6.93000011444089), (113.06000366210924 -7.130000114440893), (113.06000366210924 -7.080000114440892), (113.06000366210924 -7.030000114440892), (113.06000366210924 -6.980000114440891), (113.06000366210924 -6.93000011444089), (113.11000366210924 -7.030000114440892), (113.11000366210924 -6.93000011444089))",112.92410622621183,-7.049230883671662,2018.0,628.8377550708301,2018-08-01 04:48:00
8,BANGKALAN,9,"MULTIPOINT ((112.71000366210929 -7.130000114440893), (112.71000366210929 -7.080000114440892), (112.76000366210928 -7.130000114440893), (112.76000366210928 -7.080000114440892), (112.76000366210928 -7.030000114440892), (112.81000366210928 -7.130000114440893), (112.81000366210928 -7.080000114440892), (112.81000366210928 -7.030000114440892), (112.81000366210928 -6.980000114440891), (112.86000366210926 -7.130000114440893), (112.86000366210926 -7.080000114440892), (112.86000366210926 -7.030000114440892), (112.86000366210926 -6.980000114440891), (112.86000366210926 -6.93000011444089), (112.91000366210926 -7.180000114440894), (112.91000366210926 -7.130000114440893), (112.91000366210926 -7.080000114440892), (112.91000366210926 -7.030000114440892), (112.91000366210926 -6.980000114440891), (112.91000366210926 -6.93000011444089), (112.96000366210926 -7.180000114440894), (112.96000366210926 -7.130000114440893), (112.96000366210926 -7.080000114440892), (112.96000366210926 -7.030000114440892), (112.96000366210926 -6.980000114440891), (112.96000366210926 -6.93000011444089), (113.01000366210926 -7.180000114440894), (113.01000366210926 -7.130000114440893), (113.01000366210926 -7.080000114440892), (113.01000366210926 -7.030000114440892), (113.01000366210926 -6.980000114440891), (113.01000366210926 -6.93000011444089), (113.06000366210924 -7.130000114440893), (113.06000366210924 -7.080000114440892), (113.06000366210924 -7.030000114440892), (113.06000366210924 -6.980000114440891), (113.06000366210924 -6.93000011444089), (113.11000366210924 -7.030000114440892), (113.11000366210924 -6.93000011444089))",112.92410622621183,-7.049230883671662,2018.0,629.4844009766433,2018-09-01 04:48:00
9,BANGKALAN,10,"MULTIPOINT ((112.71000366210929 -7.130000114440893), (112.71000366210929 -7.080000114440892), (112.76000366210928 -7.130000114440893), (112.76000366210928 -7.080000114440892), (112.76000366210928 -7.030000114440892), (112.81000366210928 -7.130000114440893), (112.81000366210928 -7.080000114440892), (112.81000366210928 -7.030000114440892), (112.81000366210928 -6.980000114440891), (112.86000366210926 -7.130000114440893), (112.86000366210926 -7.080000114440892), (112.86000366210926 -7.030000114440892), (112.86000366210926 -6.980000114440891), (112.86000366210926 -6.93000011444089), (112.91000366210926 -7.180000114440894), (112.91000366210926 -7.130000114440893), (112.91000366210926 -7.080000114440892), (112.91000366210926 -7.030000114440892), (112.91000366210926 -6.980000114440891), (112.91000366210926 -6.93000011444089), (112.96000366210926 -7.180000114440894), (112.96000366210926 -7.130000114440893), (112.96000366210926 -7.080000114440892), (112.96000366210926 -7.030000114440892), (112.96000366210926 -6.980000114440891), (112.96000366210926 -6.93000011444089), (113.01000366210926 -7.180000114440894), (113.01000366210926 -7.130000114440893), (113.01000366210926 -7.080000114440892), (113.01000366210926 -7.030000114440892), (113.01000366210926 -6.980000114440891), (113.01000366210926 -6.93000011444089), (113.06000366210924 -7.130000114440893), (113.06000366210924 -7.080000114440892), (113.06000366210924 -7.030000114440892), (113.06000366210924 -6.980000114440891), (113.06000366210924 -6.93000011444089), (113.11000366210924 -7.030000114440892), (113.11000366210924 -6.93000011444089))",112.92410622621183,-7.049230883671662,2018.0,630.99324466532,2018-10-01 04:48:00
