,WADMPR_left,geometry,longitude,latitude,month,year,tcch4,time
0,Aceh,POINT (96.931841800087 4.2257893210963),96.931841800087,4.2257893210963,6.5,2019.0,1857.4430681427611,2019-06-16 18:40:00
28,Sumatera Barat,POINT (100.50055525038 -0.88629644888419),100.50055525038,-0.88629644888419,6.5,2019.0,1852.3459823451694,2019-06-16 18:40:00
27,Sulawesi Utara,POINT (124.46062469482 1.1131248474121),124.46062469482,1.1131248474121,6.5,2019.0,1844.5512942463222,2019-06-16 18:40:00
26,Sulawesi Tenggara,POINT (122.14499969482 -4.1750001525879),122.14499969482,-4.1750001525879,6.5,2019.0,1841.1829459050778,2019-06-16 18:40:00
25,Sulawesi Selatan,POINT (120.20333302816 -3.6691668192546),120.20333302816,-3.6691668192546,6.5,2019.0,1843.2653441801474,2019-06-16 18:40:00
24,Sulawesi Barat,POINT (119.34380921863 -2.5423811049688),119.34380921863001,-2.5423811049688,6.5,2019.0,1844.8702342703998,2019-06-16 18:40:00
23,Riau,POINT (101.80275831551 0.49836191637763),101.80275831551,0.49836191637763005,6.5,2019.0,1860.140924548986,2019-06-16 18:40:00
22,Papua Tengah,POINT (136.63249969482 -3.9243751525879),136.63249969482,-3.9243751525879,6.5,2019.0,1840.6558879060055,2019-06-16 18:40:00
21,Papua Selatan,POINT (139.5025654843 -6.6525001525879),139.5025654843,-6.6525001525879,6.5,2019.0,1836.1041076409083,2019-06-16 18:40:00
20,Papua Pegunungan,POINT (139.43764675365 -4.185588387882),139.43764675365,-4.185588387882,6.5,2019.0,1841.0033296692168,2019-06-16 18:40:00
19,Papua Barat Daya,POINT (131.87188648728 -1.099434114852),131.87188648728,-1.099434114852,6.5,2019.0,1841.8448069171916,2019-06-16 18:40:00
18,Papua,POINT (138.50316801166 -2.6147526278354),138.50316801166,-2.6147526278354,6.5,2019.0,1842.285641117472,2019-06-16 18:40:00
17,Nusa Tenggara Barat,POINT (117.44999969482 -8.6400001525879),117.44999969481998,-8.6400001525879,6.5,2019.0,1832.9137208177224,2019-06-16 18:40:00
16,Lampung,POINT (105.04674388087 -4.9155815479367),105.04674388087,-4.9155815479367,6.5,2019.0,1849.30263414575,2019-06-16 18:40:00
29,Sumatera Selatan,POINT (104.17491040911 -3.2417858668736),104.17491040911,-3.2417858668736,6.5,2019.0,1852.865615277714,2019-06-16 18:40:00
15,Kalimantan Utara,POINT (116.25131837614 2.8962635836758),116.25131837614,2.8962635836758,6.5,2019.0,1853.9332372437416,2019-06-16 18:40:00
13,Kalimantan Tengah,POINT (113.43557758427 -1.5962815596231),113.43557758427,-1.5962815596231,6.5,2019.0,1853.4640150258028,2019-06-16 18:40:00
12,Kalimantan Selatan,POINT (115.41999969482 -2.9677779303657),115.41999969482,-2.9677779303657,6.5,2019.0,1852.7434323017305,2019-06-16 18:40:00
11,Kalimantan Barat,POINT (111.1451292285 -0.090000152587891),111.1451292285,-0.090000152587891,6.5,2019.0,1854.5542085623445,2019-06-16 18:40:00
10,Jawa Timur,POINT (112.78311444892 -7.729344414883),112.78311444892,-7.729344414883,6.5,2019.0,1841.8335240798197,2019-06-16 18:40:00
9,Jawa Tengah,POINT (110.19222191705 -7.2455557081434),110.19222191705,-7.245555708143401,6.5,2019.0,1847.6140811978248,2019-06-16 18:40:00
8,Jawa Barat,POINT (107.58041636149 -6.8972918192546),107.58041636149,-6.8972918192546,6.5,2019.0,1853.315736081686,2019-06-16 18:40:00
7,Jambi,POINT (102.73269810752 -1.6971430097307),102.73269810752,-1.6971430097307,6.5,2019.0,1855.2111774097943,2019-06-16 18:40:00
6,Gorontalo,POINT (122.40333302816 0.72666651407878),122.40333302816,0.72666651407878,6.5,2019.0,1845.1882688236303,2019-06-16 18:40:00
5,Daerah Istimewa Yogyakarta,POINT (110.38249969482 -7.9025001525879),110.38249969482,-7.9025001525879,6.5,2019.0,1842.2849075359638,2019-06-16 18:40:00
4,DKI Jakarta,POINT (106.81999969482 -6.3400001525879),106.81999969482,-6.3400001525879,6.5,2019.0,1864.623359987028,2019-06-16 18:40:00
3,Bengkulu,POINT (102.36629599112 -3.5251853377731),102.36629599112,-3.5251853377731,6.5,2019.0,1847.5143981236304,2019-06-16 18:40:00
2,Banten,POINT (106.13818151301 -6.4763637889515),106.13818151301,-6.4763637889515,6.5,2019.0,1855.514289868878,2019-06-16 18:40:00
1,Bali,POINT (115.10571398054 -8.4114287240165),115.10571398054,-8.4114287240165,6.5,2019.0,1833.9737819074637,2019-06-16 18:40:00
14,Kalimantan Timur,POINT (116.46814784297 0.45629614370841),116.46814784297001,0.45629614370840993,6.5,2019.0,1853.4777638986334,2019-06-16 18:40:00
30,Sumatera Utara,POINT (99.038749694824 2.1547915140788),99.038749694824,2.1547915140788,6.5,2019.0,1858.8391345637278,2019-06-16 18:40:00
