,IDKABKOTA,month,year,geometry,longitude,latitude,co2,time
0,BANGKALAN,1,2016,"MULTIPOINT ((112.71000366210929 -7.130000114440893), (112.71000366210929 -7.080000114440892), (112.76000366210928 -7.130000114440893), (112.76000366210928 -7.080000114440892), (112.76000366210928 -7.030000114440892), (112.81000366210928 -7.130000114440893), (112.81000366210928 -7.080000114440892), (112.81000366210928 -7.030000114440892), (112.81000366210928 -6.980000114440891), (112.86000366210926 -7.130000114440893), (112.86000366210926 -7.080000114440892), (112.86000366210926 -7.030000114440892), (112.86000366210926 -6.980000114440891), (112.86000366210926 -6.93000011444089), (112.91000366210926 -7.180000114440894), (112.91000366210926 -7.130000114440893), (112.91000366210926 -7.080000114440892), (112.91000366210926 -7.030000114440892), (112.91000366210926 -6.980000114440891), (112.91000366210926 -6.93000011444089), (112.96000366210926 -7.180000114440894), (112.96000366210926 -7.130000114440893), (112.96000366210926 -7.080000114440892), (112.96000366210926 -7.030000114440892), (112.96000366210926 -6.980000114440891), (112.96000366210926 -6.93000011444089), (113.01000366210926 -7.180000114440894), (113.01000366210926 -7.130000114440893), (113.01000366210926 -7.080000114440892), (113.01000366210926 -7.030000114440892), (113.01000366210926 -6.980000114440891), (113.01000366210926 -6.93000011444089), (113.06000366210924 -7.130000114440893), (113.06000366210924 -7.080000114440892), (113.06000366210924 -7.030000114440892), (113.06000366210924 -6.980000114440891), (113.06000366210924 -6.93000011444089), (113.11000366210924 -7.030000114440892), (113.11000366210924 -6.93000011444089))",112.92410622621183,-7.049230883671662,628.5201612407931,2016-01-01
1,BANGKALAN,1,2017,"MULTIPOINT ((112.71000366210929 -7.130000114440893), (112.71000366210929 -7.080000114440892), (112.76000366210928 -7.130000114440893), (112.76000366210928 -7.080000114440892), (112.76000366210928 -7.030000114440892), (112.81000366210928 -7.130000114440893), (112.81000366210928 -7.080000114440892), (112.81000366210928 -7.030000114440892), (112.81000366210928 -6.980000114440891), (112.86000366210926 -7.130000114440893), (112.86000366210926 -7.080000114440892), (112.86000366210926 -7.030000114440892), (112.86000366210926 -6.980000114440891), (112.86000366210926 -6.93000011444089), (112.91000366210926 -7.180000114440894), (112.91000366210926 -7.130000114440893), (112.91000366210926 -7.080000114440892), (112.91000366210926 -7.030000114440892), (112.91000366210926 -6.980000114440891), (112.91000366210926 -6.93000011444089), (112.96000366210926 -7.180000114440894), (112.96000366210926 -7.130000114440893), (112.96000366210926 -7.080000114440892), (112.96000366210926 -7.030000114440892), (112.96000366210926 -6.980000114440891), (112.96000366210926 -6.93000011444089), (113.01000366210926 -7.180000114440894), (113.01000366210926 -7.130000114440893), (113.01000366210926 -7.080000114440892), (113.01000366210926 -7.030000114440892), (113.01000366210926 -6.980000114440891), (113.01000366210926 -6.93000011444089), (113.06000366210924 -7.130000114440893), (113.06000366210924 -7.080000114440892), (113.06000366210924 -7.030000114440892), (113.06000366210924 -6.980000114440891), (113.06000366210924 -6.93000011444089), (113.11000366210924 -7.030000114440892), (113.11000366210924 -6.93000011444089))",112.92410622621183,-7.049230883671662,633.1411762726536,2017-01-01
2,BANGKALAN,1,2018,"MULTIPOINT ((112.71000366210929 -7.130000114440893), (112.71000366210929 -7.080000114440892), (112.76000366210928 -7.130000114440893), (112.76000366210928 -7.080000114440892), (112.76000366210928 -7.030000114440892), (112.81000366210928 -7.130000114440893), (112.81000366210928 -7.080000114440892), (112.81000366210928 -7.030000114440892), (112.81000366210928 -6.980000114440891), (112.86000366210926 -7.130000114440893), (112.86000366210926 -7.080000114440892), (112.86000366210926 -7.030000114440892), (112.86000366210926 -6.980000114440891), (112.86000366210926 -6.93000011444089), (112.91000366210926 -7.180000114440894), (112.91000366210926 -7.130000114440893), (112.91000366210926 -7.080000114440892), (112.91000366210926 -7.030000114440892), (112.91000366210926 -6.980000114440891), (112.91000366210926 -6.93000011444089), (112.96000366210926 -7.180000114440894), (112.96000366210926 -7.130000114440893), (112.96000366210926 -7.080000114440892), (112.96000366210926 -7.030000114440892), (112.96000366210926 -6.980000114440891), (112.96000366210926 -6.93000011444089), (113.01000366210926 -7.180000114440894), (113.01000366210926 -7.130000114440893), (113.01000366210926 -7.080000114440892), (113.01000366210926 -7.030000114440892), (113.01000366210926 -6.980000114440891), (113.01000366210926 -6.93000011444089), (113.06000366210924 -7.130000114440893), (113.06000366210924 -7.080000114440892), (113.06000366210924 -7.030000114440892), (113.06000366210924 -6.980000114440891), (113.06000366210924 -6.93000011444089), (113.11000366210924 -7.030000114440892), (113.11000366210924 -6.93000011444089))",112.92410622621183,-7.049230883671662,631.0545358692046,2018-01-01
3,BANGKALAN,1,2019,"MULTIPOINT ((112.71000366210929 -7.130000114440893), (112.71000366210929 -7.080000114440892), (112.76000366210928 -7.130000114440893), (112.76000366210928 -7.080000114440892), (112.76000366210928 -7.030000114440892), (112.81000366210928 -7.130000114440893), (112.81000366210928 -7.080000114440892), (112.81000366210928 -7.030000114440892), (112.81000366210928 -6.980000114440891), (112.86000366210926 -7.130000114440893), (112.86000366210926 -7.080000114440892), (112.86000366210926 -7.030000114440892), (112.86000366210926 -6.980000114440891), (112.86000366210926 -6.93000011444089), (112.91000366210926 -7.180000114440894), (112.91000366210926 -7.130000114440893), (112.91000366210926 -7.080000114440892), (112.91000366210926 -7.030000114440892), (112.91000366210926 -6.980000114440891), (112.91000366210926 -6.93000011444089), (112.96000366210926 -7.180000114440894), (112.96000366210926 -7.130000114440893), (112.96000366210926 -7.080000114440892), (112.96000366210926 -7.030000114440892), (112.96000366210926 -6.980000114440891), (112.96000366210926 -6.93000011444089), (113.01000366210926 -7.180000114440894), (113.01000366210926 -7.130000114440893), (113.01000366210926 -7.080000114440892), (113.01000366210926 -7.030000114440892), (113.01000366210926 -6.980000114440891), (113.01000366210926 -6.93000011444089), (113.06000366210924 -7.130000114440893), (113.06000366210924 -7.080000114440892), (113.06000366210924 -7.030000114440892), (113.06000366210924 -6.980000114440891), (113.06000366210924 -6.93000011444089), (113.11000366210924 -7.030000114440892), (113.11000366210924 -6.93000011444089))",112.92410622621183,-7.049230883671662,631.8795415362029,2019-01-01
4,BANGKALAN,1,2020,"MULTIPOINT ((112.71000366210929 -7.130000114440893), (112.71000366210929 -7.080000114440892), (112.76000366210928 -7.130000114440893), (112.76000366210928 -7.080000114440892), (112.76000366210928 -7.030000114440892), (112.81000366210928 -7.130000114440893), (112.81000366210928 -7.080000114440892), (112.81000366210928 -7.030000114440892), (112.81000366210928 -6.980000114440891), (112.86000366210926 -7.130000114440893), (112.86000366210926 -7.080000114440892), (112.86000366210926 -7.030000114440892), (112.86000366210926 -6.980000114440891), (112.86000366210926 -6.93000011444089), (112.91000366210926 -7.180000114440894), (112.91000366210926 -7.130000114440893), (112.91000366210926 -7.080000114440892), (112.91000366210926 -7.030000114440892), (112.91000366210926 -6.980000114440891), (112.91000366210926 -6.93000011444089), (112.96000366210926 -7.180000114440894), (112.96000366210926 -7.130000114440893), (112.96000366210926 -7.080000114440892), (112.96000366210926 -7.030000114440892), (112.96000366210926 -6.980000114440891), (112.96000366210926 -6.93000011444089), (113.01000366210926 -7.180000114440894), (113.01000366210926 -7.130000114440893), (113.01000366210926 -7.080000114440892), (113.01000366210926 -7.030000114440892), (113.01000366210926 -6.980000114440891), (113.01000366210926 -6.93000011444089), (113.06000366210924 -7.130000114440893), (113.06000366210924 -7.080000114440892), (113.06000366210924 -7.030000114440892), (113.06000366210924 -6.980000114440891), (113.06000366210924 -6.93000011444089), (113.11000366210924 -7.030000114440892), (113.11000366210924 -6.93000011444089))",112.92410622621183,-7.049230883671662,641.8151173449273,2020-01-01
5,BANGKALAN,2,2016,"MULTIPOINT ((112.71000366210929 -7.130000114440893), (112.71000366210929 -7.080000114440892), (112.76000366210928 -7.130000114440893), (112.76000366210928 -7.080000114440892), (112.76000366210928 -7.030000114440892), (112.81000366210928 -7.130000114440893), (112.81000366210928 -7.080000114440892), (112.81000366210928 -7.030000114440892), (112.81000366210928 -6.980000114440891), (112.86000366210926 -7.130000114440893), (112.86000366210926 -7.080000114440892), (112.86000366210926 -7.030000114440892), (112.86000366210926 -6.980000114440891), (112.86000366210926 -6.93000011444089), (112.91000366210926 -7.180000114440894), (112.91000366210926 -7.130000114440893), (112.91000366210926 -7.080000114440892), (112.91000366210926 -7.030000114440892), (112.91000366210926 -6.980000114440891), (112.91000366210926 -6.93000011444089), (112.96000366210926 -7.180000114440894), (112.96000366210926 -7.130000114440893), (112.96000366210926 -7.080000114440892), (112.96000366210926 -7.030000114440892), (112.96000366210926 -6.980000114440891), (112.96000366210926 -6.93000011444089), (113.01000366210926 -7.180000114440894), (113.01000366210926 -7.130000114440893), (113.01000366210926 -7.080000114440892), (113.01000366210926 -7.030000114440892), (113.01000366210926 -6.980000114440891), (113.01000366210926 -6.93000011444089), (113.06000366210924 -7.130000114440893), (113.06000366210924 -7.080000114440892), (113.06000366210924 -7.030000114440892), (113.06000366210924 -6.980000114440891), (113.06000366210924 -6.93000011444089), (113.11000366210924 -7.030000114440892), (113.11000366210924 -6.93000011444089))",112.92410622621183,-7.049230883671662,629.5464939188629,2016-02-01
6,BANGKALAN,2,2017,"MULTIPOINT ((112.71000366210929 -7.130000114440893), (112.71000366210929 -7.080000114440892), (112.76000366210928 -7.130000114440893), (112.76000366210928 -7.080000114440892), (112.76000366210928 -7.030000114440892), (112.81000366210928 -7.130000114440893), (112.81000366210928 -7.080000114440892), (112.81000366210928 -7.030000114440892), (112.81000366210928 -6.980000114440891), (112.86000366210926 -7.130000114440893), (112.86000366210926 -7.080000114440892), (112.86000366210926 -7.030000114440892), (112.86000366210926 -6.980000114440891), (112.86000366210926 -6.93000011444089), (112.91000366210926 -7.180000114440894), (112.91000366210926 -7.130000114440893), (112.91000366210926 -7.080000114440892), (112.91000366210926 -7.030000114440892), (112.91000366210926 -6.980000114440891), (112.91000366210926 -6.93000011444089), (112.96000366210926 -7.180000114440894), (112.96000366210926 -7.130000114440893), (112.96000366210926 -7.080000114440892), (112.96000366210926 -7.030000114440892), (112.96000366210926 -6.980000114440891), (112.96000366210926 -6.93000011444089), (113.01000366210926 -7.180000114440894), (113.01000366210926 -7.130000114440893), (113.01000366210926 -7.080000114440892), (113.01000366210926 -7.030000114440892), (113.01000366210926 -6.980000114440891), (113.01000366210926 -6.93000011444089), (113.06000366210924 -7.130000114440893), (113.06000366210924 -7.080000114440892), (113.06000366210924 -7.030000114440892), (113.06000366210924 -6.980000114440891), (113.06000366210924 -6.93000011444089), (113.11000366210924 -7.030000114440892), (113.11000366210924 -6.93000011444089))",112.92410622621183,-7.049230883671662,625.5196200511754,2017-02-01
7,BANGKALAN,2,2018,"MULTIPOINT ((112.71000366210929 -7.130000114440893), (112.71000366210929 -7.080000114440892), (112.76000366210928 -7.130000114440893), (112.76000366210928 -7.080000114440892), (112.76000366210928 -7.030000114440892), (112.81000366210928 -7.130000114440893), (112.81000366210928 -7.080000114440892), (112.81000366210928 -7.030000114440892), (112.81000366210928 -6.980000114440891), (112.86000366210926 -7.130000114440893), (112.86000366210926 -7.080000114440892), (112.86000366210926 -7.030000114440892), (112.86000366210926 -6.980000114440891), (112.86000366210926 -6.93000011444089), (112.91000366210926 -7.180000114440894), (112.91000366210926 -7.130000114440893), (112.91000366210926 -7.080000114440892), (112.91000366210926 -7.030000114440892), (112.91000366210926 -6.980000114440891), (112.91000366210926 -6.93000011444089), (112.96000366210926 -7.180000114440894), (112.96000366210926 -7.130000114440893), (112.96000366210926 -7.080000114440892), (112.96000366210926 -7.030000114440892), (112.96000366210926 -6.980000114440891), (112.96000366210926 -6.93000011444089), (113.01000366210926 -7.180000114440894), (113.01000366210926 -7.130000114440893), (113.01000366210926 -7.080000114440892), (113.01000366210926 -7.030000114440892), (113.01000366210926 -6.980000114440891), (113.01000366210926 -6.93000011444089), (113.06000366210924 -7.130000114440893), (113.06000366210924 -7.080000114440892), (113.06000366210924 -7.030000114440892), (113.06000366210924 -6.980000114440891), (113.06000366210924 -6.93000011444089), (113.11000366210924 -7.030000114440892), (113.11000366210924 -6.93000011444089))",112.92410622621183,-7.049230883671662,628.6931276277525,2018-02-01
8,BANGKALAN,2,2019,"MULTIPOINT ((112.71000366210929 -7.130000114440893), (112.71000366210929 -7.080000114440892), (112.76000366210928 -7.130000114440893), (112.76000366210928 -7.080000114440892), (112.76000366210928 -7.030000114440892), (112.81000366210928 -7.130000114440893), (112.81000366210928 -7.080000114440892), (112.81000366210928 -7.030000114440892), (112.81000366210928 -6.980000114440891), (112.86000366210926 -7.130000114440893), (112.86000366210926 -7.080000114440892), (112.86000366210926 -7.030000114440892), (112.86000366210926 -6.980000114440891), (112.86000366210926 -6.93000011444089), (112.91000366210926 -7.180000114440894), (112.91000366210926 -7.130000114440893), (112.91000366210926 -7.080000114440892), (112.91000366210926 -7.030000114440892), (112.91000366210926 -6.980000114440891), (112.91000366210926 -6.93000011444089), (112.96000366210926 -7.180000114440894), (112.96000366210926 -7.130000114440893), (112.96000366210926 -7.080000114440892), (112.96000366210926 -7.030000114440892), (112.96000366210926 -6.980000114440891), (112.96000366210926 -6.93000011444089), (113.01000366210926 -7.180000114440894), (113.01000366210926 -7.130000114440893), (113.01000366210926 -7.080000114440892), (113.01000366210926 -7.030000114440892), (113.01000366210926 -6.980000114440891), (113.01000366210926 -6.93000011444089), (113.06000366210924 -7.130000114440893), (113.06000366210924 -7.080000114440892), (113.06000366210924 -7.030000114440892), (113.06000366210924 -6.980000114440891), (113.06000366210924 -6.93000011444089), (113.11000366210924 -7.030000114440892), (113.11000366210924 -6.93000011444089))",112.92410622621183,-7.049230883671662,631.6055893357716,2019-02-01
9,BANGKALAN,2,2020,"MULTIPOINT ((112.71000366210929 -7.130000114440893), (112.71000366210929 -7.080000114440892), (112.76000366210928 -7.130000114440893), (112.76000366210928 -7.080000114440892), (112.76000366210928 -7.030000114440892), (112.81000366210928 -7.130000114440893), (112.81000366210928 -7.080000114440892), (112.81000366210928 -7.030000114440892), (112.81000366210928 -6.980000114440891), (112.86000366210926 -7.130000114440893), (112.86000366210926 -7.080000114440892), (112.86000366210926 -7.030000114440892), (112.86000366210926 -6.980000114440891), (112.86000366210926 -6.93000011444089), (112.91000366210926 -7.180000114440894), (112.91000366210926 -7.130000114440893), (112.91000366210926 -7.080000114440892), (112.91000366210926 -7.030000114440892), (112.91000366210926 -6.980000114440891), (112.91000366210926 -6.93000011444089), (112.96000366210926 -7.180000114440894), (112.96000366210926 -7.130000114440893), (112.96000366210926 -7.080000114440892), (112.96000366210926 -7.030000114440892), (112.96000366210926 -6.980000114440891), (112.96000366210926 -6.93000011444089), (113.01000366210926 -7.180000114440894), (113.01000366210926 -7.130000114440893), (113.01000366210926 -7.080000114440892), (113.01000366210926 -7.030000114440892), (113.01000366210926 -6.980000114440891), (113.01000366210926 -6.93000011444089), (113.06000366210924 -7.130000114440893), (113.06000366210924 -7.080000114440892), (113.06000366210924 -7.030000114440892), (113.06000366210924 -6.980000114440891), (113.06000366210924 -6.93000011444089), (113.11000366210924 -7.030000114440892), (113.11000366210924 -6.93000011444089))",112.92410622621183,-7.049230883671662,643.0626059041746,2020-02-01
